#{"t_start": 1645379623.556783, "env_id": null}
r,l,t 
-0.738095,12,234.122143
-0.809524,9,234.223873
-9.714286,13,234.358875
-0.690476,14,234.519874
-0.785714,10,234.677875
-9.666667,15,234.874874
-0.833333,8,234.978883
1.261905,12,235.213876
-0.809524,9,235.329878
1.214286,10,235.455874
1.142857,7,235.560874
-0.714286,13,235.72288
1.309524,14,235.870878
1.142857,7,236.019876
1.238095,11,236.147875
-0.857143,7,236.237878
1.190476,9,236.371876
1.238095,11,236.500876
1.261905,12,236.651873
-9.642857,16,236.856873
1.190476,9,236.946877
1.142857,7,237.019878
1.285714,13,237.139879
1.214286,10,237.234879
-9.690476,14,237.364872
1.142857,7,237.434875
1.142857,7,237.505875
1.238095,11,237.611871
1.309524,14,237.739875
1.119048,6,237.802875
1.190476,9,237.889874
1.428571,19,238.13887
1.357143,16,238.286872
1.190476,9,238.378874
1.238095,11,238.487872
1.238095,11,238.598871
-0.785714,10,238.698871
-9.690476,14,238.828872
1.238095,11,238.93687
1.166667,8,239.018868
-0.809524,9,239.11487
1.095238,5,239.171871
1.238095,11,239.287871
1.119048,6,239.357869
1.166667,8,239.532869
1.166667,8,239.612871
1.309524,14,239.74217
-0.714286,13,239.863175
-0.833333,8,239.946101
-9.666667,15,240.077876
-0.761905,11,240.184877
-0.857143,7,240.258877
1.214286,10,240.355873
1.214286,10,240.460873
-0.809524,9,240.563875
1.285714,13,240.696875
1.238095,11,240.878878
-0.857143,7,240.954877
1.190476,9,241.044873
-9.738095,12,241.156873
1.190476,9,241.247869
-0.880952,6,241.318868
-0.857143,7,241.400871
1.214286,10,241.503871
-0.714286,13,241.639868
1.261905,12,241.763883
1.142857,7,241.839867
1.095238,5,241.899869
1.119048,6,241.968868
1.166667,8,242.051869
1.285714,13,242.249874
1.238095,11,242.359869
1.119048,6,242.424873
1.190476,9,242.517869
1.119048,6,242.589869
-0.738095,12,242.716868
-9.714286,13,242.841871
1.261905,12,242.952868
-0.857143,7,243.03187
1.190476,9,243.122357
1.071429,4,243.169362
-0.833333,8,243.259358
-9.761905,11,243.368361
1.190476,9,243.462068
-0.833333,8,243.62107
1.261905,12,243.74607
1.261905,12,243.864073
1.238095,11,243.98107
-9.690476,14,244.119069
-0.714286,13,244.247972
1.166667,8,244.373971
1.333333,15,244.521973
1.333333,15,244.666972
1.333333,15,245.083973
1.095238,5,245.146972
-0.857143,7,245.239975
1.285714,13,245.450977
1.214286,10,245.545973
1.285714,13,245.665977
1.119048,6,245.732972
1.071429,4,245.780977
-0.880952,6,245.860975
1.309524,14,246.011974
1.142857,7,246.083977
1.238095,11,246.191977
1.261905,12,246.302972
1.142857,7,246.384972
-9.761905,11,246.503973
1.261905,12,246.623972
1.166667,8,246.793971
-9.666667,15,246.936972
1.190476,9,247.034973
-0.857143,7,247.116975
1.261905,12,247.236972
1.095238,5,247.292973
1.285714,13,247.429971
1.309524,14,247.579974
1.166667,8,247.671972
1.095238,5,247.732973
-0.857143,7,247.834972
1.261905,12,247.951977
-0.809524,9,248.042973
-0.761905,11,248.217974
-0.809524,9,248.324973
-0.833333,8,248.420971
-0.809524,9,248.519973
1.119048,6,248.584977
1.214286,10,248.679973
1.166667,8,248.763973
1.190476,9,248.889971
1.214286,10,248.991972
-0.761905,11,249.109976
1.166667,8,249.200972
-9.738095,12,249.320974
1.071429,4,249.373974
1.119048,6,249.459972
1.214286,10,249.560971
1.214286,10,249.740973
1.238095,11,249.858973
1.214286,10,249.959973
1.238095,11,250.065977
1.166667,8,250.146977
1.166667,8,250.225977
1.238095,11,250.328974
1.119048,6,250.391977
-9.761905,11,250.491975
1.119048,6,250.554977
-0.761905,11,250.665977
-0.666667,15,250.806976
1.190476,9,250.909977
-9.690476,14,251.099972
1.166667,8,251.203977
1.142857,7,251.292973
-0.785714,10,251.396978
1.142857,7,251.469972
-0.833333,8,251.551977
1.119048,6,251.614977
1.095238,5,251.668974
1.071429,4,251.714977
1.214286,10,251.810971
1.285714,13,251.931973
-0.857143,7,252.007972
1.261905,12,252.136976
-9.690476,14,252.273973
1.142857,7,252.353973
1.190476,9,252.564972
1.142857,7,252.651973
1.190476,9,252.746973
1.238095,11,252.855972
1.071429,4,252.906973
-0.833333,8,252.991972
1.095238,5,253.057973
1.142857,7,253.135972
1.071429,4,253.186973
1.119048,6,253.252973
-0.880952,6,253.322973
1.261905,12,253.441972
1.166667,8,253.539972
-0.857143,7,253.619973
-0.857143,7,253.698972
-0.904762,5,253.756972
1.095238,5,253.812971
1.190476,9,253.964972
1.214286,10,254.061977
1.190476,9,254.147973
-0.714286,13,254.269977
1.095238,5,254.325976
-0.785714,10,254.438971
1.119048,6,254.505972
1.166667,8,254.588973
1.119048,6,254.653977
-0.833333,8,254.756972
-0.761905,11,254.879977
-0.857143,7,254.956972
1.214286,10,255.055975
1.214286,10,255.153973
-0.809524,9,255.247977
-0.857143,7,255.391561
1.190476,9,255.480561
1.190476,9,255.567561
1.190476,9,255.657561
-0.785714,10,255.761558
1.261905,12,255.873307
1.333333,15,256.010306
-0.857143,7,256.085302
1.071429,4,256.132302
1.214286,10,256.227302
1.238095,11,256.329301
-0.880952,6,256.398307
1.071429,4,256.446306
1.166667,8,256.546306
-0.833333,8,256.628307
-0.833333,8,256.780306
1.214286,10,256.885302
1.214286,10,256.992318
1.261905,12,257.11132
1.190476,9,257.205319
1.142857,7,257.291318
-0.761905,11,257.415316
1.166667,8,257.503318
1.166667,8,257.588318
1.142857,7,257.668319
-9.738095,12,257.791318
-0.833333,8,257.875322
-0.738095,12,257.990317
1.166667,8,258.070322
1.190476,9,258.226322
1.142857,7,258.297322
1.190476,9,258.384323
-0.833333,8,258.466322
-0.904762,5,258.525319
1.119048,6,258.589322
1.119048,6,258.658318
1.238095,11,258.770797
1.190476,9,258.859802
-0.714286,13,258.984802
1.214286,10,259.086356
1.238095,11,259.207357
-0.761905,11,259.329357
-0.880952,6,259.407355
1.214286,10,259.584353
1.214286,10,259.683354
1.095238,5,259.740354
1.214286,10,259.834357
1.190476,9,259.926353
-0.714286,13,260.059355
1.238095,11,260.164354
1.166667,8,260.254354
1.190476,9,260.350354
1.261905,12,260.464357
1.166667,8,260.54363
1.119048,6,260.60463
1.190476,9,260.928625
1.333333,15,261.063626
1.142857,7,261.206625
1.142857,7,261.275626
1.214286,10,261.373361
1.261905,12,261.48484
1.190476,9,261.570836
-9.714286,13,261.684727
-0.785714,10,261.781731
1.285714,13,261.901745
1.142857,7,261.973754
1.142857,7,262.048754
1.190476,9,262.136935
1.214286,10,262.233956
1.142857,7,262.305975
1.119048,6,262.371975
1.261905,12,262.560044
1.214286,10,262.65478
1.166667,8,262.733777
-0.857143,7,262.809776
1.190476,9,262.896775
1.119048,6,262.95878
-0.857143,7,263.032777
1.190476,9,263.12078
1.071429,4,263.16678
1.214286,10,263.263781
-0.785714,10,263.36378
1.071429,4,263.40978
1.238095,11,263.515775
1.166667,8,263.597775
1.261905,12,263.709412
-0.761905,11,263.880408
-0.785714,10,263.978412
1.142857,7,264.050422
1.214286,10,264.145423
-9.738095,12,264.251422
1.238095,11,264.354422
-0.761905,11,264.467418
1.119048,6,264.540418
1.142857,7,264.614419
1.095238,5,264.672423
1.190476,9,264.77042
1.142857,7,264.850419
-0.880952,6,264.927418
1.333333,15,265.088938
1.095238,5,265.143953
1.119048,6,265.273612
1.166667,8,265.35313
-9.714286,13,265.470155
1.261905,12,265.581301
1.238095,11,265.685318
1.166667,8,265.767337
1.238095,11,265.873355
1.261905,12,265.985378
1.071429,4,266.034263
1.166667,8,266.139285
1.119048,6,266.202288
-0.833333,8,266.285308
1.095238,5,266.35933
1.285714,13,266.483343
1.238095,11,266.651238
1.166667,8,266.731452
1.142857,7,266.801456
1.214286,10,266.898476
-0.714286,13,267.030474
-9.690476,14,267.200474
1.166667,8,267.284472
1.190476,9,267.380472
1.071429,4,267.430472
1.166667,8,267.517473
1.166667,8,267.605474
1.214286,10,267.728473
-0.857143,7,267.806314
1.190476,9,267.897308
1.309524,14,268.094339
1.071429,4,268.142333
1.119048,6,268.206363
1.142857,7,268.277369
1.071429,4,268.325389
1.214286,10,268.42341
1.095238,5,268.477409
1.166667,8,268.562429
1.190476,9,268.668425
1.095238,5,268.734427
-0.833333,8,268.829425
1.119048,6,268.895424
1.261905,12,269.016599
1.214286,10,269.126599
1.190476,9,269.227654
-0.904762,5,269.28865
1.166667,8,269.374655
1.095238,5,269.62465
-9.738095,12,269.773653
-0.928571,4,269.83665
1.142857,7,269.931654
1.095238,5,270.00165
1.190476,9,270.116651
1.119048,6,270.20165
1.071429,4,270.25665
1.142857,7,270.33865
1.166667,8,270.447652
1.142857,7,270.548649
1.166667,8,270.648649
1.238095,11,270.77665
1.166667,8,270.880652
1.190476,9,270.98565
1.119048,6,271.05865
1.166667,8,271.150647
1.190476,9,271.331642
1.071429,4,271.385641
1.285714,13,271.520641
1.190476,9,271.624092
1.309524,14,271.771093
-0.809524,9,271.883094
1.166667,8,271.974093
1.095238,5,272.039089
1.238095,11,272.15809
1.261905,12,272.287733
1.238095,11,272.408756
1.190476,9,272.508775
1.190476,9,272.608771
1.214286,10,272.72009
1.166667,8,272.888197
1.261905,12,273.017184
1.214286,10,273.13519
-9.761905,11,273.260186
-9.690476,14,273.405185
-0.738095,12,273.538185
1.214286,10,273.65219
1.309524,14,273.803257
-0.904762,5,273.870263
1.071429,4,273.925259
1.095238,5,273.988848
1.095238,5,274.053366
-0.833333,8,274.158358
1.142857,7,274.255356
1.095238,5,274.316363
1.214286,10,274.51338
1.238095,11,274.636381
1.142857,7,274.71938
1.142857,7,274.809382
1.095238,5,274.878385
1.095238,5,274.948382
1.119048,6,275.01938
-0.928571,4,275.074384
1.190476,9,275.17138
1.166667,8,275.25838
-0.880952,6,275.333381
1.357143,16,275.493682
1.238095,11,275.609682
1.261905,12,275.736682
1.142857,7,275.816682
1.261905,12,276.012688
1.095238,5,276.073684
-0.833333,8,276.166586
1.261905,12,276.293119
1.214286,10,276.399118
1.238095,11,276.514464
1.190476,9,276.613336
-0.785714,10,276.723434
1.190476,9,276.821433
1.071429,4,276.874433
1.214286,10,276.979807
1.119048,6,277.051032
1.309524,14,277.443036
-0.714286,13,277.665949
1.190476,9,277.766948
-0.714286,13,277.904948
1.190476,9,278.002949
1.142857,7,278.08395
-9.690476,14,278.221948
1.214286,10,278.330948
1.309524,14,278.473948
-9.666667,15,278.624058
-0.857143,7,278.708061
1.166667,8,278.796059
1.285714,13,278.929059
1.166667,8,279.018549
1.071429,4,279.143769
-0.880952,6,279.220769
1.166667,8,279.31064
-9.690476,14,279.454636
1.095238,5,279.516635
1.095238,5,279.577124
1.166667,8,279.66412
1.119048,6,279.735121
-0.809524,9,279.836119
1.119048,6,279.90712
1.119048,6,279.978121
1.190476,9,280.073121
1.166667,8,280.162128
1.190476,9,280.259123
1.119048,6,280.330122
-0.785714,10,280.447119
-0.761905,11,280.641753
1.333333,15,280.797756
1.214286,10,280.905753
1.142857,7,280.989754
1.166667,8,281.080753
-0.880952,6,281.155358
1.333333,15,281.30885
-0.666667,15,281.469847
1.166667,8,281.558644
1.142857,7,281.638642
1.214286,10,281.747639
1.166667,8,281.837643
1.095238,5,281.898639
1.190476,9,281.997644
-0.857143,7,282.159257
1.166667,8,282.248257
1.166667,8,282.335258
1.190476,9,282.437317
1.190476,9,282.537146
-0.857143,7,282.622143
1.190476,9,282.72263
-0.809524,9,282.825629
1.238095,11,282.94282
1.071429,4,282.996834
1.119048,6,283.071124
1.119048,6,283.146132
1.095238,5,283.206144
-0.857143,7,283.290143
1.190476,9,283.398162
-0.904762,5,283.468178
-9.642857,16,283.702211
1.190476,9,283.803655
-0.904762,5,283.870649
1.238095,11,283.98965
1.119048,6,284.060653
1.190476,9,284.157653
-0.666667,15,284.318692
1.190476,9,284.422697
1.190476,9,284.527696
-0.857143,7,284.619693
-0.880952,6,284.698694
1.285714,13,284.838693
1.166667,8,284.934693
1.166667,8,285.034692
1.095238,5,285.093697
1.238095,11,285.286693
1.214286,10,285.39369
1.190476,9,285.495696
1.214286,10,285.600693
-0.880952,6,285.676693
-0.880952,6,285.751693
1.166667,8,285.841013
1.214286,10,285.953014
1.214286,10,286.068403
1.095238,5,286.131408
-0.809524,9,286.237602
1.261905,12,286.366684
1.214286,10,286.47357
1.142857,7,286.555796
1.238095,11,286.750826
1.142857,7,286.827831
1.166667,8,286.915732
1.214286,10,287.022991
-0.785714,10,287.135991
-0.857143,7,287.21899
1.095238,5,287.280898
1.238095,11,287.404805
1.238095,11,287.526087
1.190476,9,287.621788
-0.833333,8,287.715801
1.214286,10,287.822797
1.166667,8,287.913799
1.190476,9,288.009468
-0.880952,6,288.08347
1.095238,5,288.151651
1.238095,11,288.338938
1.214286,10,288.44694
1.119048,6,288.519943
1.190476,9,288.617209
1.119048,6,288.68821
1.214286,10,288.79321
1.119048,6,288.864151
1.142857,7,288.941722
1.142857,7,289.021722
-9.785714,10,289.122724
1.166667,8,289.214738
1.142857,7,289.329728
1.238095,11,289.484726
1.190476,9,289.610721
1.166667,8,289.698722
-0.738095,12,289.902721
1.190476,9,289.998723
1.071429,4,290.048722
1.071429,4,290.101722
1.190476,9,290.203723
1.166667,8,290.293317
-0.809524,9,290.395963
-0.857143,7,290.475957
-0.761905,11,290.598958
1.142857,7,290.677961
-0.857143,7,290.761128
-0.880952,6,290.834126
1.142857,7,290.913125
1.166667,8,290.998122
1.214286,10,291.108658
1.214286,10,291.286664
1.071429,4,291.343148
1.285714,13,291.547144
1.142857,7,291.626144
-9.666667,15,291.776144
1.333333,15,291.924144
1.119048,6,291.993145
-0.809524,9,292.092144
1.142857,7,292.171144
1.166667,8,292.258144
1.285714,13,292.390144
1.142857,7,292.469767
1.119048,6,292.541765
1.095238,5,292.604774
1.190476,9,292.702768
1.166667,8,292.789764
1.190476,9,292.956244
1.190476,9,293.054244
1.166667,8,293.147245
1.095238,5,293.206244
-0.809524,9,293.306096
-0.809524,9,293.408093
1.119048,6,293.480099
1.261905,12,293.605779
1.119048,6,293.678776
1.166667,8,293.766642
1.119048,6,293.836638
1.142857,7,293.915222
1.166667,8,294.252615
1.119048,6,294.321613
1.119048,6,294.392618
1.190476,9,294.492612
-0.904762,5,294.558617
1.190476,9,294.756617
-0.857143,7,294.846615
1.142857,7,294.924613
1.238095,11,295.049616
1.214286,10,295.159614
1.190476,9,295.255616
1.166667,8,295.343616
1.190476,9,295.442616
1.119048,6,295.514613
-0.857143,7,295.600882
-0.904762,5,295.666879
1.119048,6,295.739879
1.166667,8,295.830416
1.238095,11,295.949343
-0.809524,9,296.053343
1.190476,9,296.22811
1.142857,7,296.307103
1.166667,8,296.396105
1.190476,9,296.492103
1.214286,10,296.598762
-0.809524,9,296.699759
1.261905,12,296.826758
1.238095,11,296.939759
1.214286,10,297.044765
1.095238,5,297.105759
-0.761905,11,297.224758
1.142857,7,297.303763
1.309524,14,297.449606
-0.904762,5,297.515606
1.166667,8,297.606589
1.214286,10,297.788592
-0.928571,4,297.846592
1.214286,10,297.953589
-0.761905,11,298.082597
1.119048,6,298.165592
1.190476,9,298.264592
-0.833333,8,298.355589
1.142857,7,298.434589
1.142857,7,298.511591
1.214286,10,298.619022
-0.785714,10,298.731023
1.214286,10,298.837852
1.166667,8,298.924579
-0.809524,9,299.024755
1.214286,10,299.210755
1.119048,6,299.283755
-0.857143,7,299.365753
-0.904762,5,299.431754
1.333333,15,299.58783
1.142857,7,299.666827
-9.666667,15,299.816826
1.190476,9,299.917826
1.190476,9,300.016829
1.190476,9,300.114695
1.166667,8,300.203695
1.142857,7,300.284737
1.190476,9,300.387737
1.166667,8,300.479726
1.095238,5,300.539728
-0.833333,8,300.632728
1.238095,11,300.826123
1.261905,12,300.955123
1.285714,13,301.089123
1.238095,11,301.205497
-0.880952,6,301.282498
1.071429,4,301.335497
-0.857143,7,301.420495
1.285714,13,301.555494
1.142857,7,301.634971
1.214286,10,301.74651
1.214286,10,301.856167
1.142857,7,301.937169
1.166667,8,302.025167
1.214286,10,302.208506
1.190476,9,302.310506
1.214286,10,302.417506
1.238095,11,302.534136
1.142857,7,302.613138
1.166667,8,302.702142
1.190476,9,302.801136
-9.761905,11,302.912137
1.285714,13,303.048135
-0.857143,7,303.132224
1.285714,13,303.26822
1.142857,7,303.345232
1.190476,9,303.44022
1.190476,9,303.53922
1.309524,14,303.755223
1.166667,8,303.84722
1.214286,10,303.95422
-0.714286,13,304.093221
1.285714,13,304.227846
-0.738095,12,304.35584
1.214286,10,304.469842
1.190476,9,304.568841
1.238095,11,304.688839
1.214286,10,304.799842
-9.666667,15,304.951839
1.214286,10,305.156838
1.142857,7,305.241839
1.285714,13,305.37984
1.166667,8,305.470843
-0.833333,8,305.563839
1.190476,9,305.660843
1.166667,8,305.747865
-0.738095,12,305.87947
1.119048,6,305.947469
1.190476,9,306.044473
-0.833333,8,306.135843
1.214286,10,306.242719
-0.857143,7,306.324716
1.166667,8,306.414716
-9.761905,11,306.523834
1.142857,7,306.680632
1.190476,9,306.779632
1.071429,4,306.831632
-0.857143,7,306.914632
1.142857,7,306.992634
1.071429,4,307.043684
1.214286,10,307.15868
1.166667,8,307.253681
1.190476,9,307.355685
1.142857,7,307.448681
1.190476,9,307.556682
1.071429,4,307.614682
1.119048,6,307.689681
1.214286,10,307.804681
1.214286,10,307.919673
-0.904762,5,307.986681
1.095238,5,308.047681
1.142857,7,308.128681
-0.785714,10,308.321676
1.190476,9,308.431674
1.238095,11,308.58468
1.119048,6,308.672677
1.238095,11,308.807676
1.142857,7,308.888679
1.285714,13,309.023676
1.309524,14,309.169679
1.190476,9,309.26868
1.214286,10,309.375676
-0.809524,9,309.482681
1.238095,11,309.597675
1.166667,8,309.686393
1.190476,9,309.858031
1.214286,10,309.969431
-0.904762,5,310.035445
1.238095,11,310.150915
-0.880952,6,310.223935
-0.928571,4,310.280948
1.142857,7,310.36295
1.261905,12,310.486973
-9.642857,16,310.642972
-0.785714,10,310.754429
1.166667,8,310.844434
1.238095,11,310.959758
1.309524,14,311.104717
-0.928571,4,311.160719
1.071429,4,311.288714
1.309524,14,311.689716
-9.642857,16,311.846713
1.238095,11,311.962717
1.119048,6,312.033714
1.095238,5,312.092719
-0.833333,8,312.186717
1.190476,9,312.285719
1.142857,7,312.364718
-9.761905,11,312.472715
1.071429,4,312.524714
-0.857143,7,312.605716
1.285714,13,312.738714
1.190476,9,312.838714
1.095238,5,312.899714
1.214286,10,313.079717
1.190476,9,313.175714
1.142857,7,313.254714
1.142857,7,313.333714
1.190476,9,313.430719
1.238095,11,313.545715
-0.738095,12,313.673714
1.285714,13,313.806714
-0.738095,12,313.933714
1.261905,12,314.059717
-0.833333,8,314.151713
-0.833333,8,314.242716
1.238095,11,314.359578
1.119048,6,314.532576
1.119048,6,314.603579
1.238095,11,314.722576
-9.785714,10,314.83058
1.190476,9,314.929579
-0.809524,9,315.028578
1.190476,9,315.133575
-0.809524,9,315.241581
-0.738095,12,315.371577
1.119048,6,315.442578
1.166667,8,315.52958
1.166667,8,315.618576
-9.833333,8,315.702579
1.214286,10,315.808577
-0.809524,9,315.982605
1.238095,11,316.097602
1.095238,5,316.158237
-0.761905,11,316.28029
1.214286,10,316.386484
-0.666667,15,316.542686
-0.857143,7,316.625614
1.214286,10,316.730744
-0.666667,15,316.885077
1.214286,10,316.992076
-0.857143,7,317.075519
1.142857,7,317.156514
1.142857,7,317.236515
-0.738095,12,317.443524
1.142857,7,317.524515
1.309524,14,317.66852
1.238095,11,317.783515
1.261905,12,317.910518
1.238095,11,318.02744
1.238095,11,318.146186
-0.785714,10,318.256799
1.119048,6,318.329804
1.285714,13,318.467429
1.190476,9,318.567425
1.166667,8,318.656424
1.214286,10,318.767424
1.309524,14,318.988278
1.238095,11,319.106276
1.238095,11,319.227275
1.214286,10,319.3337
1.142857,7,319.415994
1.261905,12,319.540994
1.166667,8,319.630994
1.119048,6,319.701951
1.190476,9,319.79995
1.190476,9,319.897368
1.142857,7,319.97437
1.071429,4,320.027099
1.142857,7,320.107711
1.095238,5,320.174711
1.190476,9,320.271711
1.119048,6,320.417802
1.214286,10,320.528805
1.214286,10,320.639336
1.166667,8,320.730336
1.214286,10,320.837337
1.214286,10,320.942337
1.190476,9,321.042174
-0.857143,7,321.124172
1.214286,10,321.233379
1.119048,6,321.302378
-0.809524,9,321.403378
1.190476,9,321.504897
1.309524,14,321.676896
1.119048,6,321.748897
1.166667,8,321.850897
-0.738095,12,322.051898
1.119048,6,322.123331
1.119048,6,322.195525
1.166667,8,322.289522
1.142857,7,322.370716
-0.761905,11,322.490712
-0.880952,6,322.564712
1.119048,6,322.635713
1.190476,9,322.733712
1.238095,11,322.85121
-0.690476,14,322.997216
1.142857,7,323.075676
1.119048,6,323.145196
-0.785714,10,323.25821
1.214286,10,323.441736
1.071429,4,323.498744
1.214286,10,323.605202
1.142857,7,323.684202
-0.904762,5,323.751646
1.238095,11,323.867647
1.166667,8,323.956646
1.166667,8,324.044285
1.261905,12,324.169755
1.214286,10,324.283843
1.309524,14,324.428847
1.238095,11,324.558845
1.142857,7,324.644853
1.119048,6,324.720843
-9.714286,13,324.871841
1.190476,9,325.041842
-0.833333,8,325.136842
1.214286,10,325.252844
1.119048,6,325.335842
1.142857,7,325.415843
1.142857,7,325.493847
1.190476,9,325.590842
1.071429,4,325.644843
1.261905,12,325.767843
1.238095,11,325.884842
1.142857,7,325.963842
1.166667,8,326.052843
-0.833333,8,326.146846
-0.833333,8,326.236842
1.166667,8,326.324842
1.190476,9,326.494846
1.285714,13,326.631844
1.261905,12,326.755842
1.142857,7,326.835841
1.142857,7,326.914842
1.214286,10,327.024842
-0.738095,12,327.154969
1.190476,9,327.258002
1.119048,6,327.333
1.142857,7,327.414998
1.119048,6,327.486001
-0.714286,13,327.623003
1.166667,8,327.712999
1.309524,14,327.857
1.261905,12,328.053002
1.238095,11,328.168001
1.214286,10,328.28033
1.095238,5,328.602849
1.142857,7,328.681849
1.095238,5,328.741849
1.261905,12,328.864848
1.214286,10,328.969851
1.190476,9,329.065851
1.238095,11,329.181382
1.214286,10,329.2869
1.261905,12,329.4159
1.166667,8,329.5039
-0.857143,7,329.5889
1.142857,7,329.7479
-0.785714,10,329.857899
1.190476,9,329.9549
1.166667,8,330.041899
1.214286,10,330.148903
1.166667,8,330.2379
1.095238,5,330.300916
1.119048,6,330.370073
1.285714,13,330.50407
1.142857,7,330.588074
1.166667,8,330.679072
1.214286,10,330.784075
1.238095,11,330.898069
1.214286,10,331.00407
1.238095,11,331.19728
1.166667,8,331.286279
1.119048,6,331.356278
-0.857143,7,331.447643
1.142857,7,331.527088
1.214286,10,331.636083
1.190476,9,331.735083
-0.785714,10,331.847083
-0.833333,8,331.939115
1.190476,9,332.03811
1.142857,7,332.11811
1.261905,12,332.242659
-0.857143,7,332.32566
-0.809524,9,332.43366
1.071429,4,332.487241
1.214286,10,332.593237
1.190476,9,332.766235
1.214286,10,332.872236
1.238095,11,332.988235
1.095238,5,333.050235
1.071429,4,333.104236
1.166667,8,333.192491
1.166667,8,333.280494
1.142857,7,333.365491
1.214286,10,333.472492
1.261905,12,333.596491
1.142857,7,333.675496
1.214286,10,333.79349
-0.904762,5,333.859491
1.119048,6,333.930491
1.166667,8,334.019201
-0.857143,7,334.101201
1.166667,8,334.267948
-0.833333,8,334.363755
1.214286,10,334.483754
-9.738095,12,334.663763
1.166667,8,334.798758
-0.833333,8,334.945757
1.190476,9,335.106763
1.214286,10,335.346764
1.095238,5,335.474756
-0.880952,6,335.606758
1.214286,10,335.837759
-0.785714,10,336.045768
1.095238,5,336.138756
1.285714,13,336.317752
1.119048,6,336.387756
1.166667,8,336.549755
1.166667,8,336.642455
1.190476,9,336.749452
1.238095,11,336.884451
1.285714,13,337.025451
1.119048,6,337.097452
1.285714,13,337.235454
1.190476,9,337.335454
-0.809524,9,337.440457
1.095238,5,337.503453
-9.809524,9,337.601453
-0.714286,13,337.742513
1.214286,10,337.851513
-9.714286,13,338.054697
1.119048,6,338.125009
1.071429,4,338.177012
1.261905,12,338.306017
1.166667,8,338.396351
-0.738095,12,338.53135
1.142857,7,338.614346
1.238095,11,338.736347
1.261905,12,338.859346
1.142857,7,338.939346
1.071429,4,338.991346
1.142857,7,339.071426
-9.761905,11,339.186426
1.142857,7,339.267428
1.071429,4,339.318965
1.166667,8,339.405952
-0.880952,6,339.555949
1.142857,7,339.639951
1.166667,8,339.729952
1.166667,8,339.816953
1.214286,10,339.923995
1.166667,8,340.014378
-0.738095,12,340.14138
1.214286,10,340.248378
1.166667,8,340.334906
1.119048,6,340.405848
1.190476,9,340.50386
1.214286,10,340.607703
1.190476,9,340.705703
1.142857,7,340.803703
-0.904762,5,340.875706
1.261905,12,341.078759
1.261905,12,341.20238
1.071429,4,341.253377
1.166667,8,341.342398
1.190476,9,341.441414
1.166667,8,341.530582
-9.619048,17,341.700605
-9.642857,16,341.86763
-0.857143,7,341.952632
1.119048,6,342.02163
1.214286,10,342.129279
1.166667,8,342.216275
1.214286,10,342.331275
1.261905,12,342.529277
1.166667,8,342.616275
-0.833333,8,342.708274
-0.880952,6,342.786279
1.166667,8,342.875274
1.119048,6,342.946278
1.214286,10,343.051274
1.119048,6,343.120275
1.095238,5,343.183275
1.142857,7,343.263274
1.142857,7,343.363277
1.142857,7,343.461278
1.166667,8,343.561282
1.261905,12,343.716277
1.238095,11,343.855274
-0.857143,7,343.938279
1.166667,8,344.033561
1.095238,5,344.178557
1.119048,6,344.251557
1.119048,6,344.321557
-0.833333,8,344.417556
-0.785714,10,344.534563
1.190476,9,344.641557
1.119048,6,344.717556
1.214286,10,344.839557
1.214286,10,344.945586
-0.833333,8,345.036036
1.214286,10,345.146777
-0.880952,6,345.220769
1.214286,10,345.327865
1.214286,10,345.441861
1.142857,7,345.535859
1.166667,8,345.70186
1.309524,14,345.847859
1.119048,6,345.918859
1.190476,9,346.016595
-0.880952,6,346.09041
1.095238,5,346.15141
1.142857,7,346.230376
1.190476,9,346.3287
1.142857,7,346.406698
1.071429,4,346.461713
1.190476,9,346.850698
-0.785714,10,346.958467
1.071429,4,347.011952
-9.714286,13,347.139432
1.214286,10,347.245434
1.190476,9,347.341435
1.142857,7,347.512435
1.142857,7,347.592432
1.142857,7,347.675431
1.238095,11,347.79943
1.071429,4,347.852432
1.190476,9,347.948431
1.190476,9,348.046432
1.071429,4,348.097435
1.238095,11,348.212434
1.238095,11,348.325434
1.238095,11,348.448433
1.261905,12,348.574431
1.333333,15,348.723431
-9.809524,9,348.821431
1.261905,12,349.022838
-0.880952,6,349.098838
1.071429,4,349.151839
1.071429,4,349.203456
-0.904762,5,349.268457
1.142857,7,349.349456
1.309524,14,349.503456
1.095238,5,349.57246
1.190476,9,349.686455
-0.785714,10,349.816455
-0.642857,16,350.004457
1.190476,9,350.103456
1.142857,7,350.185457
1.142857,7,350.267521
-0.809524,9,350.366521
1.142857,7,350.447702
1.261905,12,350.646881
1.166667,8,350.738133
-9.714286,13,350.874131
1.119048,6,350.946133
1.119048,6,351.017133
-0.833333,8,351.108128
1.214286,10,351.220128
-0.880952,6,351.29613
1.142857,7,351.374128
1.214286,10,351.480128
-0.857143,7,351.563134
1.214286,10,351.673797
-0.857143,7,351.757793
1.166667,8,351.849793
1.071429,4,351.901794
1.238095,11,352.093709
-9.690476,14,352.234709
1.190476,9,352.332708
1.119048,6,352.401711
1.190476,9,352.502707
1.119048,6,352.572671
1.119048,6,352.644673
1.166667,8,352.733667
1.095238,5,352.794673
1.214286,10,352.902668
1.142857,7,352.984667
1.095238,5,353.047667
1.166667,8,353.136667
1.142857,7,353.217668
-0.904762,5,353.282668
1.119048,6,353.353667
1.071429,4,353.410673
-0.857143,7,353.495673
